Row,“„«‰,,„ﬁœ«—,,,,,,
1,0,,1.401253521,,,,,,
2,0.001,,11.69108657,,,,,,
3,0.002,,11.16709469,,,,,,
4,0.003,,9.920496425,,,,,,
5,0.004,,13.63309523,,,,,,
6,0.005,,19.03805665,,,,,,
7,0.006,,12.8059567,,,,,,
8,0.007,,3.039924527,,,,,,
9,0.008,,5.2201251,,,,,,
10,0.009,,6.879567017,,,,,,
11,0.01,,1.441715154,,,,,,
12,0.011,,-7.648722795,,,,,,
13,0.012,,-6.629098078,,,,,,
14,0.013,,-3.076731684,,,,,,
15,0.014,,-11.34980632,,,,,,
16,0.015,,-18.23410223,,,,,,
17,0.016,,-16.51917438,,,,,,
18,0.017,,-9.223667444,,,,,,
19,0.018,,-9.9921474,,,,,,
20,0.019,,-11.70303637,,,,,,
21,0.02,,-0.443692495,,,,,,
22,0.021,,10.12400245,,,,,,
23,0.022,,12.42065317,,,,,,
24,0.023,,9.235230504,,,,,,
25,0.024,,14.12401062,,,,,,
26,0.025,,19.81552601,,,,,,
27,0.026,,12.18576387,,,,,,
28,0.027,,4.61024065,,,,,,
29,0.028,,4.157069741,,,,,,
30,0.029,,7.529761665,,,,,,
31,0.03,,0.955642877,,,,,,
32,0.031,,-8.428212439,,,,,,
33,0.032,,-6.026672383,,,,,,
34,0.033,,-4.51415018,,,,,,
35,0.034,,-10.21372601,,,,,,
36,0.035,,-18.95311084,,,,,,
37,0.036,,-16.05375559,,,,,,
38,0.037,,-8.39375075,,,,,,
39,0.038,,-10.55607275,,,,,,
40,0.039,,-10.25246182,,,,,,
41,0.04,,-1.593436777,,,,,,
42,0.041,,10.81909933,,,,,,
43,0.042,,11.98557711,,,,,,
44,0.043,,8.433477358,,,,,,
45,0.044,,14.71133872,,,,,,
46,0.045,,18.36950282,,,,,,
47,0.046,,13.32609437,,,,,,
48,0.047,,3.890713488,,,,,,
49,0.048,,4.605020367,,,,,,
50,0.049,,8.369564912,,,,,,
51,0.05,,0.389559433,,,,,,
52,0.051,,-6.940038052,,,,,,
53,0.052,,-7.155007536,,,,,,
54,0.053,,-3.849667377,,,,,,
55,0.054,,-10.75872362,,,,,,
56,0.055,,-19.82018405,,,,,,
57,0.056,,-15.44170768,,,,,,
58,0.057,,-9.901273265,,,,,,
59,0.058,,-9.548708534,,,,,,
60,0.059,,-10.96500764,,,,,,
61,0.06,,-1.009763373,,,,,,
62,0.061,,11.72022192,,,,,,
63,0.062,,11.35444823,,,,,,
64,0.063,,9.931846526,,,,,,
65,0.064,,13.67145379,,,,,,
66,0.065,,19.06777198,,,,,,
67,0.066,,12.79083641,,,,,,
68,0.067,,3.053893607,,,,,,
69,0.068,,5.213098963,,,,,,
70,0.069,,6.862626444,,,,,,
71,0.07,,1.444884039,,,,,,
72,0.071,,-7.612590635,,,,,,
73,0.072,,-6.591975536,,,,,,
74,0.073,,-3.07787097,,,,,,
75,0.074,,-11.37482171,,,,,,
76,0.075,,-18.27277621,,,,,,
77,0.076,,-16.5450321,,,,,,
78,0.077,,-9.222413983,,,,,,
79,0.078,,-10.00546805,,,,,,
80,0.079,,-11.70157224,,,,,,
81,0.08,,-0.43131153,,,,,,
82,0.081,,10.13936772,,,,,,
83,0.082,,12.43465317,,,,,,
84,0.083,,9.238961369,,,,,,
85,0.084,,14.09529095,,,,,,
86,0.085,,19.80245587,,,,,,
87,0.086,,12.20648292,,,,,,
88,0.087,,4.59327672,,,,,,
89,0.088,,4.142429658,,,,,,
90,0.089,,7.592369009,,,,,,
91,0.09,,0.938483349,,,,,,
92,0.091,,-8.413244463,,,,,,
93,0.092,,-6.033449453,,,,,,
94,0.093,,-4.54785233,,,,,,
95,0.094,,-10.24204167,,,,,,
96,0.095,,-18.94823475,,,,,,
97,0.096,,-16.05207659,,,,,,
98,0.097,,-8.379989388,,,,,,
99,0.098,,-10.56309955,,,,,,
100,0.099,,-10.25223569,,,,,,
101,0.1,,-1.570353723,,,,,,
102,0.101,,10.84521816,,,,,,
103,0.102,,11.99845754,,,,,,
104,0.103,,8.446515975,,,,,,
105,0.104,,14.68004879,,,,,,
106,0.105,,18.3466065,,,,,,
107,0.106,,13.32559822,,,,,,
108,0.107,,3.878594658,,,,,,
109,0.108,,4.606139936,,,,,,
110,0.109,,8.369341734,,,,,,
111,0.11,,0.379045699,,,,,,
112,0.111,,-6.930608239,,,,,,
113,0.112,,-7.123029622,,,,,,
114,0.113,,-3.829429978,,,,,,
115,0.114,,-10.75920379,,,,,,
116,0.115,,-19.8066802,,,,,,
117,0.116,,-15.46086571,,,,,,
118,0.117,,-9.892637612,,,,,,
119,0.118,,-9.499530415,,,,,,
120,0.119,,-10.94215548,,,,,,
121,0.12,,-1.038164295,,,,,,
122,0.121,,11.73489658,,,,,,
123,0.122,,11.37087647,,,,,,
124,0.123,,9.913128291,,,,,,
125,0.124,,13.63464629,,,,,,
126,0.125,,19.06391968,,,,,,
127,0.126,,12.80059943,,,,,,
128,0.127,,3.013953239,,,,,,
129,0.128,,5.21364937,,,,,,
130,0.129,,6.873969272,,,,,,
131,0.13,,1.437418807,,,,,,
132,0.131,,-7.634978601,,,,,,
133,0.132,,-6.630217648,,,,,,
134,0.133,,-3.07697203,,,,,,
135,0.134,,-11.3611288,,,,,,
136,0.135,,-18.24957252,,,,,,
137,0.136,,-16.52213724,,,,,,
138,0.137,,-9.221058016,,,,,,
139,0.138,,-10.03086969,,,,,,
140,0.139,,-11.68815289,,,,,,
141,0.14,,-0.42651265,,,,,,
142,0.141,,10.13740758,,,,,,
143,0.142,,12.41145444,,,,,,
144,0.143,,9.201736913,,,,,,
145,0.144,,14.143968,,,,,,
146,0.145,,19.84299235,,,,,,
147,0.146,,12.2256467,,,,,,
148,0.147,,4.612769444,,,,,,
149,0.148,,4.143557119,,,,,,
150,0.149,,7.55276179,,,,,,
151,0.15,,0.940163062,,,,,,
152,0.151,,-8.427469349,,,,,,
153,0.152,,-6.048258868,,,,,,
154,0.153,,-4.545195774,,,,,,
155,0.154,,-10.23028009,,,,,,
156,0.155,,-18.95336665,,,,,,
157,0.156,,-16.06887516,,,,,,
158,0.157,,-8.407991096,,,,,,
159,0.158,,-10.58139523,,,,,,
160,0.159,,-10.25694727,,,,,,
161,0.16,,-1.562764043,,,,,,
162,0.161,,10.85733699,,,,,,
163,0.162,,11.99733797,,,,,,
164,0.163,,8.446756321,,,,,,
165,0.164,,14.69137127,,,,,,
166,0.165,,18.32935855,,,,,,
167,0.166,,13.30023665,,,,,,
168,0.167,,3.895473483,,,,,,
169,0.168,,4.606699363,,,,,,
170,0.169,,8.38286275,,,,,,
171,0.17,,0.360696412,,,,,,
172,0.171,,-6.929790721,,,,,,
173,0.172,,-7.094623616,,,,,,
174,0.173,,-3.823952313,,,,,,
175,0.174,,-10.77880092,,,,,,
176,0.175,,-19.84888963,,,,,,
177,0.176,,-15.49316206,,,,,,
178,0.177,,-9.910839047,,,,,,
179,0.178,,-9.511379362,,,,,,
180,0.179,,-10.94477025,,,,,,
181,0.18,,-1.008564552,,,,,,
182,0.181,,11.74820817,,,,,,
183,0.182,,11.36223084,,,,,,
184,0.183,,9.89669786,,,,,,
185,0.184,,13.62052185,,,,,,
186,0.185,,19.05342621,,,,,,
187,0.186,,12.80483713,,,,,,
188,0.187,,3.039924527,,,,,,
189,0.188,,5.2201251,,,,,,
190,0.189,,6.870643862,,,,,,
191,0.19,,1.436703142,,,,,,
192,0.191,,-7.638369038,,,,,,
193,0.192,,-6.645337217,,,,,,
194,0.193,,-3.09097203,,,,,,
195,0.194,,-11.3751288,,,,,,
196,0.195,,-18.25524424,,,,,,
197,0.196,,-16.53143211,,,,,,
198,0.197,,-9.237667444,,,,,,
199,0.198,,-10.00111041,,,,,,
200,0.199,,-11.67413853,,,,,,
201,0.2,,-0.402750515,,,,,,
202,0.201,,10.14197776,,,,,,
203,0.202,,12.41555081,,,,,,
204,0.203,,9.231974437,,,,,,
205,0.204,,14.11153009,,,,,,
206,0.205,,19.8164387,,,,,,
207,0.206,,12.21967417,,,,,,
208,0.207,,4.615094854,,,,,,
209,0.208,,4.155127491,,,,,,
210,0.209,,7.584012519,,,,,,
211,0.21,,0.968043133,,,,,,
212,0.211,,-8.400948937,,,,,,
213,0.212,,-6.043152901,,,,,,
214,0.213,,-4.556359606,,,,,,
215,0.214,,-10.23457644,,,,,,
216,0.215,,-18.93962245,,,,,,
217,0.216,,-16.07503172,,,,,,
218,0.217,,-8.449446856,,,,,,
219,0.218,,-10.56840231,,,,,,
220,0.219,,-10.22941397,,,,,,
221,0.22,,-1.556353723,,,,,,
222,0.221,,10.84544249,,,,,,
223,0.222,,11.95797629,,,,,,
224,0.223,,8.447655261,,,,,,
225,0.224,,14.70506418,,,,,,
226,0.225,,18.35256224,,,,,,
227,0.226,,13.30637141,,,,,,
228,0.227,,3.87511426,,,,,,
229,0.228,,4.635819649,,,,,,
230,0.229,,8.382876502,,,,,,
231,0.23,,0.3809138,,,,,,
232,0.231,,-6.932078526,,,,,,
233,0.232,,-7.1283438,,,,,,
234,0.233,,-3.840683177,,,,,,
235,0.234,,-10.76152218,,,,,,
236,0.235,,-19.83488963,,,,,,
237,0.236,,-15.47916206,,,,,,
238,0.237,,-9.912900727,,,,,,
239,0.238,,-9.522425275,,,,,,
240,0.239,,-10.94676751,,,,,,
241,0.24,,-1.022005125,,,,,,
242,0.241,,11.74843305,,,,,,
243,0.242,,11.36304026,,,,,,
244,0.243,,9.913354417,,,,,,
245,0.244,,13.6348375,,,,,,
246,0.245,,19.03455012,,,,,,
247,0.246,,12.79095706,,,,,,
248,0.247,,3.027386947,,,,,,
249,0.248,,5.228210384,,,,,,
250,0.249,,6.879235871,,,,,,
251,0.25,,1.435800985,,,,,,
252,0.251,,-7.631722534,,,,,,
253,0.252,,-6.617737115,,,,,,
254,0.253,,-3.077180853,,,,,,
255,0.254,,-11.3618804,,,,,,
256,0.255,,-18.24957252,,,,,,
257,0.256,,-16.52213724,,,,,,
258,0.257,,-9.21078888,,,,,,
259,0.258,,-9.994746068,,,,,,
260,0.259,,-11.71602201,,,,,,
261,0.26,,-0.44693036,,,,,,
262,0.261,,10.12536772,,,,,,
263,0.262,,12.41493021,,,,,,
264,0.263,,9.223111674,,,,,,
265,0.264,,14.12357112,,,,,,
266,0.265,,19.80302106,,,,,,
267,0.266,,12.20517097,,,,,,
268,0.267,,4.601499977,,,,,,
269,0.268,,4.135280081,,,,,,
270,0.269,,7.554387155,,,,,,
271,0.27,,0.941842057,,,,,,
272,0.271,,-8.413484809,,,,,,
273,0.272,,-6.044771936,,,,,,
274,0.273,,-4.554994339,,,,,,
275,0.274,,-10.24602236,,,,,,
276,0.275,,-18.96386011,,,,,,
277,0.276,,-16.06943459,,,,,,
278,0.277,,-8.422198814,,,,,,
279,0.278,,-10.5953959,,,,,,
280,0.279,,-10.27043713,,,,,,
281,0.28,,-1.576888491,,,,,,
282,0.281,,10.84008092,,,,,,
283,0.282,,11.96917845,,,,,,
284,0.283,,8.419701641,,,,,,
285,0.284,,14.70860339,,,,,,
286,0.285,,18.3709731,,,,,,
287,0.286,,13.32609437,,,,,,
288,0.287,,3.894220022,,,,,,
289,0.288,,4.616781945,,,,,,
290,0.289,,8.354668784,,,,,,
291,0.29,,0.352913134,,,,,,
292,0.291,,-6.942911826,,,,,,
293,0.292,,-7.124983708,,,,,,
294,0.293,,-3.837176643,,,,,,
295,0.294,,-10.7497606,,,,,,
296,0.295,,-19.84861836,,,,,,
297,0.296,,-15.46081344,,,,,,
298,0.297,,-9.889413021,,,,,,
299,0.298,,-9.522329134,,,,,,
300,0.299,,-10.95363301,,,,,,
301,0.3,,-0.996643445,,,,,,
302,0.301,,11.73377446,,,,,,
303,0.302,,11.34666983,,,,,,
304,0.303,,9.915416096,,,,,,
305,0.304,,13.65732934,,,,,,
306,0.305,,19.06078505,,,,,,
307,0.306,,12.80215849,,,,,,
308,0.307,,3.026458191,,,,,,
309,0.308,,5.194242268,,,,,,
310,0.309,,6.857725111,,,,,,
311,0.31,,1.440187682,,,,,,
312,0.311,,-7.628099902,,,,,,
313,0.312,,-6.604296541,,,,,,
314,0.313,,-3.077405739,,,,,,
315,0.314,,-11.36268982,,,,,,
316,0.315,,-18.2579008,,,,,,
317,0.316,,-16.52684237,,,,,,
318,0.317,,-9.197910317,,,,,,
319,0.318,,-9.992547605,,,,,,
320,0.319,,-11.68881148,,,,,,
321,0.32,,-0.42888308,,,,,,
322,0.321,,10.12967418,,,,,,
323,0.322,,12.4189109,,,,,,
324,0.323,,9.238737039,,,,,,
325,0.324,,14.13589213,,,,,,
326,0.325,,19.80327686,,,,,,
327,0.326,,12.22700652,,,,,,
328,0.327,,4.615783995,,,,,,
329,0.328,,4.137518503,,,,,,
330,0.329,,7.573519053,,,,,,
331,0.33,,0.964245644,,,,,,
332,0.331,,-8.442144007,,,,,,
333,0.332,,-6.064687113,,,,,,
334,0.333,,-4.559195774,,,,,,
335,0.334,,-10.24428009,,,,,,
336,0.335,,-18.96035358,,,,,,
337,0.336,,-16.05431502,,,,,,
338,0.337,,-8.408215982,,,,,,
339,0.338,,-10.58220465,,,,,,
340,0.339,,-10.26527555,,,,,,
341,0.34,,-1.584229275,,,,,,
342,0.341,,10.82771162,,,,,,
343,0.342,,11.96933797,,,,,,
344,0.343,,8.419237012,,,,,,
345,0.344,,14.68601624,,,,,,
346,0.345,,18.34836081,,,,,,
347,0.346,,13.31383664,,,,,,
348,0.347,,3.876713488,,,,,,
349,0.348,,4.591020367,,,,,,
350,0.349,,8.35558208,,,,,,
351,0.35,,0.376368182,,,,,,
352,0.351,,-6.920809674,,,,,,
353,0.352,,-7.11260153,,,,,,
354,0.353,,-3.826683177,,,,,,
355,0.354,,-10.74752218,,,,,,
356,0.355,,-19.82064928,,,,,,
357,0.356,,-15.45383958,,,,,,
358,0.357,,-9.900681873,,,,,,
359,0.358,,-9.527034263,,,,,,
360,0.359,,-10.94050398,,,,,,
361,0.36,,-0.996723004,,,,,,
362,0.361,,11.73422192,,,,,,
363,0.362,,11.36844823,,,,,,
364,0.363,,9.913128291,,,,,,
365,0.364,,13.63996047,,,,,,
366,0.365,,19.06490374,,,,,,
367,0.366,,12.76175721,,,,,,
368,0.367,,3.027597477,,,,,,
369,0.368,,5.219257664,,,,,,
370,0.369,,6.872009129,,,,,,
371,0.37,,1.436703142,,,,,,
372,0.371,,-7.631606436,,,,,,
373,0.372,,-6.614499052,,,,,,
374,0.373,,-3.05069136,,,,,,
375,0.374,,-11.37780057,,,,,,
376,0.375,,-18.26669209,,,,,,
377,0.376,,-16.52968984,,,,,,
378,0.377,,-9.234160909,,,,,,
379,0.378,,-9.987669839,,,,,,
380,0.379,,-11.67482694,,,,,,
381,0.38,,-0.425396148,,,,,,
382,0.381,,10.12820389,,,,,,
383,0.382,,12.41318794,,,,,,
384,0.383,,9.226618209,,,,,,
385,0.384,,14.14012983,,,,,,
386,0.385,,19.82852711,,,,,,
387,0.386,,12.1995148,,,,,,
388,0.387,,4.599955714,,,,,,
389,0.388,,4.141318698,,,,,,
390,0.389,,7.544149495,,,,,,
391,0.39,,0.9564022,,,,,,
392,0.391,,-8.413229003,,,,,,
393,0.392,,-6.022936385,,,,,,
394,0.393,,-4.524053765,,,,,,
395,0.394,,-10.22946828,,,,,,
396,0.395,,-18.96711084,,,,,,
397,0.396,,-16.06775559,,,,,,
398,0.397,,-8.40775075,,,,,,
399,0.398,,-10.57007275,,,,,,
400,0.399,,-10.24980526,,,,,,
401,0.4,,-1.586989377,,,,,,
402,0.401,,10.80622077,,,,,,
403,0.402,,11.98829571,,,,,,
404,0.403,,8.446981207,,,,,,
405,0.404,,14.69218068,,,,,,
406,0.405,,18.34601511,,,,,,
407,0.406,,13.30882935,,,,,,
408,0.407,,3.871491629,,,,,,
409,0.408,,4.62070008,,,,,,
410,0.409,,8.369357194,,,,,,
411,0.41,,0.389558767,,,,,,
412,0.411,,-6.906809674,,,,,,
413,0.412,,-7.099010313,,,,,,
414,0.413,,-3.813548808,,,,,,
415,0.414,,-10.73512121,,,,,,
416,0.415,,-19.82111451,,,,,,
417,0.416,,-15.46597147,,,,,,
418,0.417,,-9.907229005,,,,,,
419,0.418,,-9.529890507,,,,,,
420,0.419,,-10.95888634,,,,,,
421,0.42,,-1.020885556,,,,,,
422,0.421,,11.7486734,,,,,,
423,0.422,,11.37436274,,,,,,
424,0.423,,9.912168147,,,,,,
425,0.424,,13.63452185,,,,,,
426,0.425,,19.05690661,,,,,,
427,0.426,,12.77371828,,,,,,
428,0.427,,3.014162664,,,,,,
429,0.428,,5.203945716,,,,,,
430,0.429,,6.875155541,,,,,,
